,Compound Score,Counter,Date,Negative Score,Neutral Score,Positive Score,Source Account,Text
0,0.0094,1,Fri Jan 12 06:20:07 +0000 2018,0.094,0.81,0.096,951700299726561280,"RT @CNN: ""Let me be clear tonight. The people of Haiti have been through more... withstood more -- they've fought back against more injusti…"
1,-0.7096,2,Fri Jan 12 06:20:07 +0000 2018,0.228,0.772,0.0,951700299533770753,RT @perfectsliders: .@CNN poll: 61% of women think Trump should resign because of sexual harassment allegations against him; 39% of men thi…
2,0.0094,3,Fri Jan 12 06:20:07 +0000 2018,0.094,0.81,0.096,951700297348407296,"RT @CNN: ""Let me be clear tonight. The people of Haiti have been through more... withstood more -- they've fought back against more injusti…"
3,0.0094,4,Fri Jan 12 06:20:07 +0000 2018,0.094,0.81,0.096,951700296903905280,"RT @CNN: ""Let me be clear tonight. The people of Haiti have been through more... withstood more -- they've fought back against more injusti…"
4,-0.4767,5,Fri Jan 12 06:20:07 +0000 2018,0.279,0.721,0.0,951700296387842050,@Ken3559 @CNN We put up with worse for 8 years.
5,0.0094,6,Fri Jan 12 06:20:06 +0000 2018,0.094,0.81,0.096,951700296119484417,"RT @CNN: ""Let me be clear tonight. The people of Haiti have been through more... withstood more -- they've fought back against more injusti…"
6,0.0,7,Fri Jan 12 06:20:06 +0000 2018,0.0,1.0,0.0,951700295788056576,@CNN  https://t.co/9rFBz5qwvP
7,-0.4767,8,Fri Jan 12 06:20:06 +0000 2018,0.367,0.459,0.174,951700295297400833,@TheMarkPantano @AklerAnn @Acosta @CNN Okay. I’m devastated.
8,-0.4019,9,Fri Jan 12 06:20:06 +0000 2018,0.193,0.73,0.077,951700295041667073,RT @CNN: Treasury Secretary Steven Mnuchin defended his agency against Democrats who have accused it of politicizing a critical process at…
9,0.0,10,Fri Jan 12 06:20:06 +0000 2018,0.0,1.0,0.0,951700293070282752,"RT @CNN: Ana Navarro on Trump's ""shithole countries"" remark: ""We cannot normalize the fact that Donald Trump has turned the Oval Office int…"
10,0.0,11,Fri Jan 12 06:20:05 +0000 2018,0.0,1.0,0.0,951700291891609600,"@HillaryisStupi1 @MambaComish @ChelseaClinton @POTUS Did""t see this on @CNN #donlemon"
11,-0.9505,12,Fri Jan 12 06:20:05 +0000 2018,0.455,0.545,0.0,951700290398572544,Sorry @CNN &amp; @AC360 but your outrage about #Haiti is meaningless as you kept your #pieholes shut as the #Clintons raped that #Shithole.
12,0.6369,13,Fri Jan 12 06:20:05 +0000 2018,0.0,0.819,0.181,951700289828130816,@reaIDonaIdTrumv @CNN Why are you trying oppress the news media outlets. 1st adment Freedom of the press. whether i… https://t.co/h2kELpYS1H
13,0.0094,14,Fri Jan 12 06:20:04 +0000 2018,0.094,0.81,0.096,951700287038767105,"RT @CNN: ""Let me be clear tonight. The people of Haiti have been through more... withstood more -- they've fought back against more injusti…"
14,0.0094,15,Fri Jan 12 06:20:04 +0000 2018,0.094,0.81,0.096,951700286774611968,"RT @CNN: ""Let me be clear tonight. The people of Haiti have been through more... withstood more -- they've fought back against more injusti…"
15,0.0094,16,Fri Jan 12 06:20:03 +0000 2018,0.094,0.81,0.096,951700283507187712,"RT @CNN: ""Let me be clear tonight. The people of Haiti have been through more... withstood more -- they've fought back against more injusti…"
16,-0.8689,17,Fri Jan 12 06:20:02 +0000 2018,0.366,0.634,0.0,951700279271051264,"RT @CNN: ""Not racial. Not racially charged. Racist. ... The sentiment the President expressed today is a racist sentiment."" Anderson Cooper…"
17,-0.5423,18,Fri Jan 12 06:20:02 +0000 2018,0.157,0.784,0.059,951700278327304193,"RT @CNN: CNN legal analyst Jeffrey Toobin on President Trump's ""shithole countries"" remark: ""The President has racist views. ... How long d…"
18,0.0094,19,Fri Jan 12 06:20:02 +0000 2018,0.094,0.81,0.096,951700277601615872,"RT @CNN: ""Let me be clear tonight. The people of Haiti have been through more... withstood more -- they've fought back against more injusti…"
19,0.3818,20,Fri Jan 12 06:20:02 +0000 2018,0.0,0.867,0.133,951700276225957889,@its_good @CNN Let's give the opportunities to American citizens. There are  thousands upon thousands of American c… https://t.co/ZmsSJloktZ
20,0.0,21,Fri Jan 12 06:20:02 +0000 2018,0.0,1.0,0.0,951700276171460608,@CNN @StCollinson I was attending PT at an office and once I found out several people who was working with me voted… https://t.co/kJziGIr7rL
21,0.0,22,Fri Jan 12 06:20:01 +0000 2018,0.0,1.0,0.0,951700273843458049,RT @endnelson1926: @KTLA @CNN Here is a thought https://t.co/SuXqnYwm6U
22,0.0094,23,Fri Jan 12 06:20:01 +0000 2018,0.094,0.81,0.096,951700272862019585,"RT @CNN: ""Let me be clear tonight. The people of Haiti have been through more... withstood more -- they've fought back against more injusti…"
23,0.0,24,Fri Jan 12 06:20:00 +0000 2018,0.0,1.0,0.0,951700270114856960,RT @RealSaavedra: .@CNN calls President Donald Trump a 'shithole' on live TV. https://t.co/uEqKTF2WJ1
24,-0.4215,25,Fri Jan 12 06:19:59 +0000 2018,0.113,0.887,0.0,951700265912164352,"RT @CNN: US President Donald Trump's blast at immigrants from ""shithole"" countries was a bombshell -- but no one who has watched his politi…"
25,0.4939,26,Fri Jan 12 06:19:59 +0000 2018,0.0,0.842,0.158,951700263001317376,RT @CNN: The Carrier plant that President Trump pledged to save lays off another 215 workers https://t.co/GwLpBGuiBt https://t.co/SpoiweEOOe
26,0.0,27,Fri Jan 12 06:19:58 +0000 2018,0.0,1.0,0.0,951700261403283457,"RT @uche_ezeonye: Nigeria ??:Under @GEJonathan,@CNN &amp; @BBCBreaking mainstream media literally lived with Nigerian communities over nothing!…"
27,0.5411,28,Fri Jan 12 06:19:58 +0000 2018,0.0,0.775,0.225,951700260300120064,@CNN @StCollinson Oh the joys of being part of the next Aryan race.Not !
28,0.3612,29,Fri Jan 12 06:19:57 +0000 2018,0.0,0.865,0.135,951700257187954688,"RT @MosesAgbo8: Unabated massacre of thousands of #Christians in #Nigeria,has international media like @CNN
@BBCWorld @FoxNews @AlJazeera_W…"
29,0.0094,30,Fri Jan 12 06:19:57 +0000 2018,0.094,0.81,0.096,951700254419836928,"RT @CNN: ""Let me be clear tonight. The people of Haiti have been through more... withstood more -- they've fought back against more injusti…"
30,0.0094,31,Fri Jan 12 06:19:56 +0000 2018,0.094,0.81,0.096,951700254084100097,"RT @CNN: ""Let me be clear tonight. The people of Haiti have been through more... withstood more -- they've fought back against more injusti…"
31,0.4939,32,Fri Jan 12 06:19:56 +0000 2018,0.0,0.842,0.158,951700252586754048,RT @CNN: The Carrier plant that President Trump pledged to save lays off another 215 workers https://t.co/GwLpBGuiBt https://t.co/SpoiweEOOe
32,0.6239,33,Fri Jan 12 06:19:56 +0000 2018,0.0,0.687,0.313,951700252016369664,"@endnelson1926 @KTLA @CNN Wow, you have been brainstorming haven’t you!"
33,0.4939,34,Fri Jan 12 06:19:56 +0000 2018,0.0,0.842,0.158,951700250955100160,RT @CNN: The Carrier plant that President Trump pledged to save lays off another 215 workers https://t.co/GwLpBGuiBt https://t.co/SpoiweEOOe
34,-0.4767,35,Fri Jan 12 06:19:56 +0000 2018,0.205,0.795,0.0,951700250472968192,@uche_ezeonye @GEJonathan @CNN @BBCBreaking Most reason Trump refers to them as Fake News
35,0.0,36,Fri Jan 12 06:19:55 +0000 2018,0.0,1.0,0.0,951700248019152896,"RT @CNN: Ana Navarro on Trump's ""shithole countries"" remark: ""We cannot normalize the fact that Donald Trump has turned the Oval Office int…"
36,-0.6819,37,Fri Jan 12 06:19:55 +0000 2018,0.27,0.632,0.098,951700246538592256,"RT @CNN: .@donlemon on President Trump: ""He is a racist ... but it's more important to be strategic than outraged"" https://t.co/YhQrjiIOKr"
37,-0.2263,38,Fri Jan 12 06:19:55 +0000 2018,0.132,0.769,0.099,951700246446399488,"@jews4trumpUSA @CNN Yes it should, to show the USA and the rest of the world what a fascist  and  bigot he really i… https://t.co/ugUa9keedB"
38,0.4939,39,Fri Jan 12 06:19:55 +0000 2018,0.0,0.842,0.158,951700246010056704,RT @CNN: The Carrier plant that President Trump pledged to save lays off another 215 workers https://t.co/GwLpBGuiBt https://t.co/SpoiweEOOe
39,-0.8689,40,Fri Jan 12 06:19:55 +0000 2018,0.366,0.634,0.0,951700245964054528,"RT @CNN: ""Not racial. Not racially charged. Racist. ... The sentiment the President expressed today is a racist sentiment."" Anderson Cooper…"
40,0.0094,41,Fri Jan 12 06:19:55 +0000 2018,0.094,0.81,0.096,951700245892624390,"RT @CNN: ""Let me be clear tonight. The people of Haiti have been through more... withstood more -- they've fought back against more injusti…"
41,0.2023,42,Fri Jan 12 06:19:54 +0000 2018,0.091,0.785,0.124,951700245527875584,No I think that Compassion is something that most people either have it or not...I don't  think he's ever had it..… https://t.co/4sQhScv5uV
42,0.4497,43,Fri Jan 12 06:19:54 +0000 2018,0.0,0.886,0.114,951700241706754048,RT @Infantryski7: @Gypsy_DynasFTW @CNN I know these days common sense is not common but the facts r facts the truth is one and is out there…
43,-0.6588,44,Fri Jan 12 06:19:53 +0000 2018,0.18,0.82,0.0,951700240930885633,RT @therealcornett: RETWEET: If you believe @VanJones68 is the modern face of racism and @CNN should replace him ASAP! #RaceDivider https:/…
44,-0.7088,45,Fri Jan 12 06:19:53 +0000 2018,0.408,0.474,0.118,951700239597146112,@hotfunkytown @Aungiexyz @realDonaldTrump @CNN wtf! profanity is a harmless release of stress .
45,-0.6124,46,Fri Jan 12 06:19:53 +0000 2018,0.182,0.818,0.0,951700239219609600,"RT @AppSame: Somehow to @CNN @MSNBC @realDonaldTrump calling Nations Shitholes is racist 
But @HillaryClinton calling half of Americans Dep…"
46,0.4939,47,Fri Jan 12 06:19:53 +0000 2018,0.0,0.842,0.158,951700238170980352,RT @CNN: The Carrier plant that President Trump pledged to save lays off another 215 workers https://t.co/GwLpBGuiBt https://t.co/SpoiweEOOe
47,0.0,48,Fri Jan 12 06:19:53 +0000 2018,0.127,0.746,0.127,951700237781032960,"RT @IH8Traitors: @SarahBurris @radioactive_B @CNN @MSNBC - 

Can we be done with the freak show alt-right and Trump supporting panelists?…"
